fips,Population per sq mile,House per sq mile
21193,84.5,37.7
21195,82.6,38.5
21197,70.5,31.3
21199,95.8,47.8
21201,22.8,11
21203,53.9,24.3
21205,83.4,36.1
21207,69.2,39.4
21209,167.4,68.5
21211,110.8,43.7
21213,74,31.7
21215,91.4,35.9
21217,92,40.8
21219,33.3,14.1
21221,32.5,17.7
21223,58.1,25.9
21225,43.8,17.9
21227,210.1,87.2
21229,39.4,17
21231,45.4,23.9
21233,41,17.9
21235,81.4,34.6
21237,33.1,16.5
21239,132.1,56.7
22001,94.3,38.8
22003,33.8,12.8
22005,369.7,140.6
22007,69.2,30.6
22009,50.5,21.7
22011,30.8,13
22013,17.7,9.5
22015,139.3,58.7
22017,290.2,127.5
22019,181.2,77.1
22021,19.1,9.4
22023,5.3,2.8
22025,14.7,6.9
22027,22.8,10.3
22029,29.9,13.5
22031,30.4,14
22033,966.6,411.4
22035,18.4,6.9
22037,44.7,17.7
22039,51.3,22.1
22041,33.2,14.5
22043,34.7,13.8
22045,127.6,51.7
22047,54,20.5
22049,28.6,13.5
22051,1463.1,639.8
22053,48.5,20.4
22055,824.6,348.5
22057,90.2,36.1
22059,23.8,10.5
22061,99.1,41.3
22063,197.5,77.4
22065,19.4,7.7
22067,35.2,15.6
22069,31.6,14.8
22071,2029.4,1120.8
22073,251.8,105.6
22075,29.5,12.3
22077,40.9,20
22079,99.9,42.3
22081,23.4,10.6
22083,37.1,15.4
22085,28,16.3
22087,95.1,44.5
22089,189.1,71.3
22091,27.4,12.6
22093,91.5,35
22095,215.5,82.2
22097,90.3,38.6
22099,70.7,29.7
22101,98.4,41.5
22103,276.4,112.8
22105,153,63.3
22107,8.7,5.6
22109,90.8,35.6
22111,25.9,12.9
22113,49.4,21.5
22115,39.4,16.1
22117,70.4,31.4
22119,69.5,32.6
22121,123.6,48.5
22123,32.3,14
22125,38.8,12.6
22127,16.1,7.6
23001,230.2,104.9
23003,10.8,5.9
23005,337.2,166
23007,18.1,12.8
23009,34.3,25.3
23011,140.8,70.3
23013,108.8,65
23015,75.6,51.5
23017,27.8,17.4
23019,45.3,21.7
23021,4.4,3.9
23023,139.1,72.1
23025,13.3,7.8
23027,53.1,29.5
23029,12.8,9
23031,199,106.8
24001,177,78.5
24003,1295.9,512.3
24005,1345.5,561
24009,416.3,158.5
24011,103.5,42.2
24013,373.4,139.4
24015,292,118.7
24017,320.2,120.1
24019,60.3,30.6
24021,353.5,136.5
24023,46.5,29.1
24025,560.1,218.6
24027,1144.9,435.8
24029,72.9,38.1
24031,1978.2,765.2
24033,1788.8,679.9
24035,128.5,54.2
24037,294.4,115.6
24039,82.8,34.8
24041,140.7,72.9
24043,322.1,132.8
24045,263.7,110
24047,109.9,119.1
24510,7671.5,3665.3
25001,548.3,407.1
25003,141.6,73.9
25005,991.3,416.8
25007,160.2,166.5
25009,1508.8,622.8
25011,102.1,48.3
25013,751,311.4
25015,299.8,118.7
25017,1837.9,748.3
25019,226.2,258.4
25021,1693.6,682.5
25023,750.9,303.7
25025,12415.6,5425.6
25027,528.6,216.3
26001,16.2,16.4
26003,10.5,7.2
26005,135,59.9
26007,51.8,28.1
26009,49.6,37.5
26011,43.8,27
26013,9.9,5.9
26015,107,48.8
26017,243.7,109
26019,54.8,38.2
26021,276.2,135.5
26023,89.4,41.2
26025,192.8,86.4
26027,106.7,52.8
26029,62.3,41.4
26031,36.6,25.6
26033,24.7,13.6
26035,54.8,41.2
26037,133.1,54.2
26039,25.3,19.9
26041,31.7,17.3
26043,34.4,18.4
26045,187.4,81.8
26047,69.9,45.6
26049,668.5,301.7
26051,51.2,35.2
26053,14.9,9.8
26055,187.3,89.6
26057,74.7,28.7
26059,78.1,36.4
26061,36.3,18.5
26063,39.6,25.4
26065,505.1,218.1
26067,111.9,43.4
26069,47.1,37.2
26071,10.1,7.9
26073,122.8,49.6
26075,228.4,99
26077,445.7,195.9
26079,30.6,21.7
26081,711.5,291.5
26083,4,4.6
26085,20.3,26.4
26087,137.4,56.5
26089,62.5,43
26091,133.3,58
26093,320.2,128.8
26095,7.4,4.8
26097,10.9,10.8
26099,1754.9,744.2
26101,45.6,28.9
26103,37.1,19
26105,58,34.9
26107,77.1,38.1
26109,23,13.6
26111,162,69.7
26113,26.3,16.1
26115,276.7,114.6
26117,89.8,40
26119,17.9,17.6
26121,344.9,147.3
26123,59.6,30.8
26125,1385.7,607.7
26127,51.9,31.1
26129,38.5,28.5
26131,5.2,4.3
26133,41.5,24.1
26135,15.3,16.1
26137,46.9,28.6
26139,468.2,181.9
26141,20.3,15.8
26143,47.1,47.1
26145,250.2,108.5
26147,226.1,99.6
26149,122.4,55.5
26151,44.8,23.6
26153,7.2,5.4
26155,133.1,57.1
26157,69.4,30.4
26159,125.5,60.6
26161,488.4,209
26163,2974.4,1342.5
26165,57.9,29.6
27001,8.9,8.8
27003,782.1,299.5
27005,24.7,14.3
27007,17.7,8.2
27009,94.2,39.5
27011,10.6,6.2
27013,85.6,35
27015,42.4,18.8
27017,41.1,18.2
27019,256.9,97.5
27021,14.1,12.3
27023,21.4,9.8
27025,129.9,51
27027,56.4,22.9
27029,8.7,4.8
27031,3.6,4
27033,18.3,8.5
27035,62.6,40.2
27037,709,283.9
27039,45.7,18.1
27041,56.5,31.2
27043,20.4,10
27045,24.2,11.3
27047,44.2,20.1
27049,61,26.9
27051,11,6.1
27053,2081.7,920.3
27055,34.5,15.6
27057,22.1,15.8
27059,86.8,35.2
27061,16.9,10.1
27063,14.6,7.1
27065,31.1,15
27067,53,24.4
27069,4.1,2.4
27071,4.3,2.5
27073,9.5,4.8
27075,5.2,3.6
27077,3.1,2.8
27079,61.7,27.7
27081,11,5.8
27083,36.2,15.5
27085,74.6,32.1
27087,9.7,5
27089,5.3,2.7
27091,29.3,14.1
27093,38.3,17.6
27095,45.6,22.3
27097,29.5,14
27099,55.1,23.9
27101,12.4,6.5
27103,73,28.7
27105,29.9,11.9
27107,7.9,3.9
27109,220.8,92.6
27111,29.1,18
27113,22.6,10.2
27115,21.1,12.2
27117,20.6,9.6
27119,16,7.4
27121,16.4,9.6
27123,3341.6,1426.9
27125,9.5,4.5
27127,18.3,8.3
27129,16,7.5
27131,129.4,49.3
27133,20.1,8.8
27135,9.3,4.5
27137,32,16.5
27139,364.5,132.2
27141,204.4,74.8
27143,25.9,11.2
27145,112.2,46.1
27147,85.1,35.7
27149,17.3,7.4
27151,13.2,6.5
27153,26.3,13.7
27155,6.2,3.6
27157,41.4,19.1
27159,25.8,12.9
27161,45.2,18.7
27163,619.7,240.4
27165,25.8,11.6
27167,8.8,4.1
27169,82.2,33.2
27171,188.5,74.1
27173,13.8,6.3
28001,69.8,31.7
28003,92.6,42.7
28005,18,9.1
28007,26.6,12.4
28009,21.5,10.3
28011,39,16.1
28013,25.5,11.8
28015,16.9,8
28017,34.7,15
28019,20.4,9.9
28021,19.7,8.7
28023,24.2,11.4
28025,50.3,22.4
28027,47.3,19.5
28029,37.9,15.7
28031,47.3,20.5
28033,338.7,129.4
28035,160.7,69.2
28037,14.4,7.4
28039,47.2,19.5
28041,20.2,7.2
28043,51.9,24.1
28045,92.7,46.1
28047,326,148.4
28049,282,118.9
28051,25.4,11.1
28053,22.4,9.2
28055,3.4,1.4
28057,43.9,19
28059,193.2,83.1
28061,25.2,12.1
28063,14.9,7.1
28065,30.6,14.4
28067,97.5,40.9
28069,13.6,6.2
28071,75,36
28073,112,48.4
28075,114.1,49.3
28077,30,14
28079,40.8,16.1
28081,184.3,79.7
28083,54.5,22.3
28085,59.5,26
28087,118.3,52.5
28089,133.2,54
28091,49.9,21.8
28093,52.6,21.1
28095,48.3,21.5
28097,26.8,12.8
28099,52.1,21.7
28101,37.6,16.2
28103,16.6,7.4
28105,104,45.7
28107,50.7,21.5
28109,68.9,29.6
28111,18.9,8.5
28113,98.8,43.7
28115,60.2,25
28117,60.9,26.6
28119,20.3,8.9
28121,182.6,72.8
28123,46.4,18.8
28125,11.4,4.9
28127,46.7,20.3
28129,25.9,11.4
28131,39.9,16.1
28133,42.2,13.9
28135,23.8,8.6
28137,71.4,27
28139,48.6,21.2
28141,46.2,24.3
28143,23.7,10.6
28145,65.3,27.7
28147,38.2,17.7
28149,82.9,37.2
28151,70.6,30
28153,25.6,11.4
28155,24.4,11.4
28157,14.6,7.4
28159,31.6,14.4
28161,27.1,13.6
28163,30.4,10.9
29001,45.1,19.9
29003,40,16.9
29005,10.4,5.5
29007,36.9,15.7
29009,45.7,22.5
29011,21,9.5
29013,20.4,9.4
29015,27.1,20.1
29017,20,9.5
29019,237.3,101.5
29021,218.6,94.2
29023,61.6,28.4
29025,22.1,10.8
29027,53.1,22.2
29029,67.1,62.8
29031,130.8,56.4
29033,13.4,6.7
29035,12.3,6.4
29037,142.8,57.4
29039,29.5,15.2
29041,10.4,5.5
29043,137.6,56.1
29045,14.1,6.9
29047,558.6,236.4
29049,49.5,21.2
29051,193,82.1
29053,31.2,13.2
29055,33.3,16.1
29057,16.1,8.1
29059,31,14.2
29061,15,7.5
29063,30.6,10.3
29065,20.8,9.7
29067,16.8,8
29069,59.1,26.6
29071,110,47.1
29073,29.4,15.8
29075,13.7,6.5
29077,407.5,185.7
29079,23.6,11.5
29081,12.4,6.1
29083,32,15.6
29085,24.1,17.1
29087,10.6,6.1
29089,21.9,9.9
29091,43.6,19.4
29093,19.3,9.7
29095,1115.3,516.3
29097,183.9,79.4
29099,333.1,133.4
29101,63.4,26
29103,8.2,4.5
29105,46.5,20.6
29107,53.1,23.4
29109,63.2,27.2
29111,20.2,9
29113,83.9,33.5
29115,20.7,10.4
29117,28.5,12.6
29119,42.8,18.4
29121,19.4,9.6
29123,24.7,12.1
29125,17.4,8.7
29127,65.9,29.4
29129,8.3,4.7
29131,41.8,21.5
29133,34.9,13.9
29135,37.6,14.9
29137,13.6,7.4
29139,22.8,11.4
29141,34.4,26
29143,28.1,12.6
29145,93,38.9
29147,26.6,10.9
29149,13.8,6.9
29151,23,10.8
29153,13.1,7.6
29155,37.1,16.6
29157,40,18.1
29159,61.9,26.7
29161,67.2,29.1
29163,27.6,11.7
29165,212.6,93.3
29167,49,20.9
29169,95.5,32.7
29171,9.6,5.8
29173,21.6,11
29175,52.7,22.2
29177,41.3,17.6
29179,8.3,5
29181,22.4,10.5
29183,643.2,251.6
29185,14.6,8.4
29186,36.4,17.3
29187,144.6,63
29189,1967.2,862.6
29195,30.9,13.4
29197,14.4,6.8
29199,11.1,5.4
29201,93.3,40.4
29203,8.4,4.1
29205,12.7,6.4
29207,36.4,16.5
29209,69.4,43.9
29211,10.4,5.2
29213,81.7,46.3
29215,22.1,9.9
29217,25.6,11.5
29219,75.9,34.3
29221,33.2,14.5
29223,17.8,10.6
29225,61.1,24.3
29227,8.1,4.8
29229,27.6,12.8
29510,5157.5,2842.9
30001,1.7,1
30003,2.6,0.9
30005,1.5,0.7
30007,4.7,2.3
30009,4.9,3.1
30011,0.3,0.2
30013,30.1,13.8
30015,1.5,0.7
30017,3.1,1.5
30019,1.2,0.8
30021,3.8,1.8
30023,12.6,7
30025,1.8,0.9
30027,2.7,1.3
30029,17.9,9.2
30031,34.4,16.2
30033,0.3,0.2
30035,4.5,1.8
30037,0.8,0.4
30039,1.8,1.6
30041,5.6,2.5
30043,6.9,3.1
30045,1.1,0.7
30047,19.3,11.1
30049,18.3,8.7
30051,1.6,0.7
30053,5.4,3.2
30055,0.7,0.4
30057,2.1,1.9
30059,0.8,0.6
30061,3.5,2
30063,42.1,19.3
30065,2.4,1.4
30067,5.6,3.3
30069,0.3,0.2
30071,0.8,0.5
30073,3.8,1.6
30075,0.5,0.3
30077,3,1.3
30079,0.7,0.4
30081,16.8,8.2
30083,4.7,2.2
30085,4.4,1.7
30087,1.8,0.8
30089,4.1,2.4
30091,2,1.2
30093,47.6,23.3
30095,5.1,2.7
30097,2,1.2
30099,2.7,1.3
30101,2.8,1.2
30103,0.7,0.4
30105,1.5,1
30107,1.5,0.8
30109,1.1,0.6
30111,56.2,24.3
31001,55.7,23.7
31003,7.8,3.8
31005,0.6,0.4
31007,0.9,0.5
31009,0.7,0.5
31011,8,3.9
31013,10.5,5.1
31015,3.9,2.6
31017,2.6,1.5
31019,47.6,19.7
31021,14,7.1
31023,14.4,6.9
31025,45.3,19.9
31027,12,5.6
31029,4.4,2.2
31031,1,0.5
31033,8.4,4.1
31035,11.4,5.2
31037,25.5,10
31039,16,7.4
31041,4.2,2.2
31043,79.5,28.9
31045,6.6,3
31047,24,10
31049,4.4,2.4
31051,12.6,5.6
31053,69.4,31.4
31055,1574.4,668.5
31057,2.2,1.2
31059,10.2,5.1
31061,5.6,3
31063,2.8,1.6
31065,6.9,3.8
31067,26.2,12.3
31069,1.2,0.8
31071,3.6,2.1
31073,4.5,2.8
31075,0.8,0.5
31077,4.5,2.3
31079,107.3,43.1
31081,16.8,7.3
31083,6.2,4.3
31085,1.4,0.7
31087,4.1,2.5
31089,4.3,2.2
31091,1,0.6
31093,11,5.2
31095,13.2,6.9
31097,13.9,5.8
31099,12.6,5.6
31101,7.9,5.1
31103,1.1,0.7
31105,4,2.1
31107,7.9,4.3
31109,340.8,144.3
31111,14.2,6.5
31113,1.3,0.7
31115,1.1,0.7
31117,0.6,0.3
31119,60.9,26.2
31121,16.2,7.6
31123,3.5,1.7
31125,8.5,4.1
31127,17.8,8.6
31129,7.8,4.3
31131,25.6,11.4
31133,6.4,3.7
31135,3.4,1.6
31137,17,7.7
31139,12.7,5.6
31141,47.8,19.8
31143,12.3,6.2
31145,15.4,7.3
31147,15.2,8
31149,1.5,0.9
31151,24.7,10
31153,664.6,259.2
31155,27.7,12.3
31157,50,22.2
31159,29.3,12
31161,2.2,1.2
31163,5.6,3.4
31165,0.6,0.4
31167,14.3,6.2
31169,9.1,4.8
31171,0.9,0.6
31173,17.6,6.1
31175,7.5,4
31177,51.9,21.3
31179,21.7,8.5
31181,6.6,3.3
31183,1.4,1
31185,23.9,10.9
32001,5,2.2
32003,247.3,106.5
32005,66.2,33.4
32007,2.8,1.1
32009,0.2,0.2
32011,0.5,0.3
32013,1.7,0.7
32015,1.1,0.5
32017,0.5,0.3
32019,26,11.3
32021,1.3,0.8
32023,2.4,1.2
32027,1.1,0.4
32029,15.3,7.6
32031,66.9,29.3
32033,1.1,0.5
32510,382.1,162.7
33001,150.1,93.4
33003,51.4,42.8
33005,109.1,49.2
33007,18.4,11.9
33009,52.2,29.9
33011,457.4,189.5
33013,156.8,68
33015,425,182.4
33017,333.7,140.1
33019,81.4,41.6
34001,494.1,227.9
34003,3884.5,1512.3
34005,561.9,219.9
34007,2321.5,926.2
34009,386.9,391
34011,324.4,115.4
34013,6211.5,2479.6
34015,895.3,341
34017,13731.4,5852.5
34019,300,115.7
34021,1632.2,637.6
34023,2621.6,954.3
34025,1344.7,551.2
34027,1069.8,412.5
34029,917,442.2
34031,2715.3,953.3
34033,199.1,82.6
34035,1071.7,408
34037,287.6,119.6
34039,5216.1,1939.5
34041,304.5,125.9
35001,570.8,244.9
35003,0.5,0.5
35005,10.8,4.4
35006,6,2.4
35007,3.7,2.7
35009,34.4,14.3
35011,0.9,0.6
35013,55,21.4
35015,12.9,5.4
35017,7.4,3.7
35019,1.5,0.8
35021,0.3,0.2
35023,1.4,0.7
35025,14.7,5.7
35027,4.2,3.6
35028,164.4,76.5
35029,8.5,3.7
35031,13.1,4.7
35033,2.5,1.7
35035,9.6,4.7
35037,3.1,1.9
35039,6.9,3.4
35041,8.1,3.3
35043,35.5,14.1
35045,23.6,8.9
35047,6.2,3.3
35049,75.5,37.3
35051,2.9,2
35053,2.7,1.2
35055,15,9.2
35057,4.9,2.3
35059,1.2,0.6
35061,71.8,28.2
36001,581.9,263.5
36003,47.6,25.4
36005,32903.3,12160.1
36007,284.2,128.3
36009,61.4,31.4
36011,115.7,52.8
36013,127.2,63.1
36015,218.1,94.2
36017,56.5,27.7
36019,79.1,34.6
36021,99.4,51.6
36023,98.9,41.3
36025,33.3,21.6
36027,373.9,149.1
36029,881.4,402.8
36031,21.9,14.3
36033,31.7,15.5
36035,112.1,57.6
36037,121.9,51.9
36039,76.1,45.1
36041,2.8,5.1
36043,45.7,23.6
36045,91.6,45.7
36047,35369.2,14125.3
36049,21.3,11.9
36051,103.5,42.9
36053,112.2,48.5
36055,1132.6,487.8
36057,124.6,57.2
36059,4704.8,1645
36061,69468.4,37106.4
36063,414.4,189.8
36065,193.7,85.9
36067,600,260
36069,167.6,74.8
36071,459.3,168.8
36073,109.6,47.1
36075,128.3,56.3
36077,62.2,30.7
36079,432.9,166
36081,20553.6,7694.7
36083,244.4,109.6
36085,8030.3,3026.5
36087,1795.9,599.6
36089,41.8,19.4
36091,271.1,121.8
36093,756.6,333.5
36095,52.7,27.7
36097,55.9,28.8
36099,108.9,49.6
36101,71.2,35.1
36103,1637.4,624.9
36105,80.1,50.8
36107,98.6,42.8
36109,214,87.8
36111,162.3,74.4
36113,75.8,44.7
36115,76.1,34.7
36117,155.3,68
36119,2204.7,861.4
36121,71.1,30.3
36123,75,39.9
37001,356.5,157
37003,143.1,62.3
37005,47.5,34.4
37007,50.7,21.8
37009,64,40.7
37011,72,56.2
37013,57.7,29.8
37015,30.4,14
37017,40.2,20.3
37019,126.8,91.5
37021,362.9,172.6
37023,179.3,80.6
37025,492.1,198.9
37027,176.1,79.9
37029,41.5,17.1
37031,131.3,95.2
37033,55.8,25
37035,387.1,170.3
37037,93.1,42.1
37039,60.3,38.5
37041,85.8,42.3
37043,49.3,33.2
37045,211.3,93.4
37047,62,27.8
37049,146,63.5
37051,489.7,207.8
37053,89.9,55.2
37055,88.5,87.4
37057,294.7,131.5
37059,156.1,69.1
37061,71.7,31.5
37063,935.7,420.4
37065,111.9,49.2
37067,859.2,384.4
37069,123.3,54.1
37071,578.8,249.1
37073,35.8,15.3
37075,30.3,20.3
37077,112.7,42.9
37079,80.3,30.9
37081,756.4,337.6
37083,75.5,35.6
37085,192.7,78.5
37087,106.6,63.1
37089,286.1,146.6
37091,69.9,30.1
37093,120.2,46.6
37095,9.5,5.5
37097,277.8,120.3
37099,82.1,52.9
37101,213.4,85.5
37103,21.6,10.3
37105,227,94.7
37107,148.5,68.5
37109,262.7,112.9
37111,102.1,47.2
37113,65.8,49
37115,46.2,23.6
37117,53.1,25.4
37119,1755.5,760.7
37121,70.4,39.3
37123,56.5,32.4
37125,126.5,63
37127,177.3,78.2
37129,1058.1,529.6
37131,41.2,21.8
37133,233.1,89.4
37135,336.2,139.7
37137,39.1,22.4
37139,179.2,74.2
37141,60,30.7
37143,54.4,28.3
37145,100.6,46.4
37147,257.9,115
37149,86.3,48.1
37151,181.1,78
37153,98.4,43.8
37155,141.3,55.6
37157,165.6,77.3
37159,270.7,117.7
37161,120.2,60.1
37163,67.1,28.8
37165,113.4,47.7
37167,153.3,68.6
37169,105.6,48.8
37171,138.4,63.3
37173,26.5,16.5
37175,87.4,50.6
37177,11.3,5.3
37179,318.7,115.4
37181,179.2,79.2
37183,1078.8,445.2
37185,48.9,27.6
37187,38,18.6
37189,163.4,102.8
37191,221.7,95.7
37193,91.9,43.8
37195,220.6,96.5
37197,114.7,51.8
37199,57,35.3
38001,2.4,1.4
38003,7.4,3.8
38005,4.8,2.1
38007,0.7,0.4
38009,3.9,2.6
38011,2.7,1.4
38013,1.8,1.2
38015,49.8,21.9
38017,84.9,38.5
38019,2.7,1.6
38021,4.7,2.3
38023,1.6,1.1
38025,1.8,1.1
38027,3.8,2.1
38029,2.4,1.4
38031,5.3,2.8
38033,1.7,1
38035,46.5,20.4
38037,1.4,1
38039,3.4,2.1
38041,2.2,1.2
38043,1.8,1.2
38045,3.6,2
38047,2,1.2
38049,2.9,1.6
38051,2.9,1.9
38053,2.3,1.1
38055,4.2,2.6
38057,8.1,4.3
38059,14.3,6.3
38061,4.2,2.3
38063,3.2,2
38065,2.6,1.3
38067,6.6,3.4
38069,4.3,2.2
38071,9.6,4.7
38073,6.3,3.1
38075,2.8,1.6
38077,11.4,5.2
38079,15.4,5.9
38081,4.5,2.3
38083,1.4,0.9
38085,3.8,1.2
38087,0.6,0.4
38089,18.1,8
38091,2.8,1.6
38093,9.5,4.4
38095,2.2,1.4
38097,9.4,4.4
38099,8.7,4.3
38101,30.6,13.3
38103,3.3,2
38105,10.8,5
39001,48.9,22.2
39003,264.2,111.8
39005,125.6,52.3
39007,144.6,65.7
39009,128.6,52.4
39011,114.5,48.8
39013,132.3,61
39015,91.5,39.4
39017,788.2,317.5
39019,73.1,34.7
39021,93.5,39.1
39023,348,154.5
39025,436.5,178.4
39027,102.9,44.4
39029,202.7,88.5
39031,65.4,29.3
39033,109,50.2
39035,2800,1360
39037,88.5,38
39039,94.9,40.7
39041,393.2,149.8
39043,306.4,150.4
39045,289.8,116.3
39047,71.4,31.2
39049,2186.1,990.6
39051,105.3,42.9
39053,66.3,29.8
39055,233.4,91.4
39057,390.5,164.9
39059,76.8,36.8
39061,1976.7,929.7
39063,140.7,62.4
39065,68.1,27.8
39067,39.4,20.3
39069,67.8,28.8
39071,78.8,35
39073,69.7,31.8
39075,100.3,32.3
39077,121.3,51.3
39079,79,34.7
39081,170.7,80.4
39083,115.9,47.8
39085,1011.2,444.9
39087,137.7,60.9
39089,243.9,101.5
39091,100,50.6
39093,613.6,258.7
39095,1296.2,594.5
39097,93.2,34.2
39099,580.2,271.7
39101,164.7,68.9
39103,409,164.2
39105,55.3,26
39107,88.3,38.1
39109,252.1,108.8
39111,32.1,16.6
39113,1159.5,552
39115,36.2,19
39117,85.8,34.9
39119,129.5,57.3
39121,36.8,15.2
39123,162.5,109.5
39125,47.1,21
39127,88.4,37.3
39129,111.1,42.4
39131,65.2,28.3
39133,331.2,138.4
39135,99.7,42.2
39137,71.5,28.5
39139,251.3,110.2
39141,113.3,46.6
39143,149.2,64.6
39145,130.3,56
39147,103,43.8
39149,121.2,49.5
39151,652.9,287.2
39153,1312.6,593.8
39155,340.1,155.5
39157,163.1,70.8
39159,121.1,45
39161,70.3,30.8
39163,32.6,15.3
39165,530,201.2
39167,97.8,44.9
39169,206.4,82.6
39171,89.4,39.6
39173,203.3,86.5
39175,55.6,24.3
40001,39.6,15.9
40003,6.5,3.2
40005,14.5,6.5
40007,3.1,1.5
40009,24.5,10.7
40011,12.9,5.6
40013,46.9,21.7
40015,23.2,10.3
40017,128.9,51.1
40019,57.8,25.7
40021,62.7,28.6
40023,19.7,9.8
40025,1.3,0.9
40027,474.7,194.6
40029,11.5,5.4
40031,116.1,47.5
40033,9.8,4.8
40035,19.7,8.9
40037,73.6,31.3
40039,27.8,12.3
40041,56.2,33.6
40043,4.8,2.4
40045,3.4,1.9
40047,57.2,25.3
40049,34.4,16
40051,47.6,20.2
40053,4.5,2.5
